Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,cover_url,cover_path
41077259,Deep Medicine: How Artificial Intelligence Can Make Healthcare Human Again,Eric J. Topol,"Topol, Eric J.",,"=""""","=""""",0,4.02,Basic Books,Kindle Edition,341.0,2019.0,2019.0,,2021/10/18,currently-reading,currently-reading (#2),currently-reading,,,,1,0,,
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""1594205078""","=""9781594205071""",4,4.38,Penguin Press,Hardcover,790.0,2017.0,2017.0,2021/10/18,2021/05/08,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1517732866i/31170723.jpg,images/book-cover/1594205078.jpg
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",5,4.29,Harriman House,Paperback,242.0,2020.0,2020.0,2021/10/17,2021/10/16,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1581527774i/41881472.jpg,images/book-cover/0857197681.jpg
112247,"The Art of Computer Programming, Volume 1: Fundamental Algorithms",Donald Ervin Knuth,"Knuth, Donald Ervin",,"=""0201896834""","=""9780201896831""",0,4.38,Addison-Wesley,Hardcover,672.0,1997.0,1973.0,,2021/09/18,to-read,to-read (#100),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388242904i/112247.jpg,images/book-cover/0201896834.jpg
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",4,4.16,Oxford University Press,Paperback,360.0,2006.0,1976.0,2021/08/27,2021/06/25,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1366758096i/61535.jpg,images/book-cover/0199291152.jpg
43261127,Tiny Habits: The Small Changes That Change Everything,B.J.  Fogg,"Fogg, B.J.",,"=""0358003326""","=""9780358003328""",0,4.14,Harvest,Hardcover,320.0,2020.0,2019.0,,2021/08/22,to-read,to-read (#99),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1575588006i/43261127.jpg,images/book-cover/0358003326.jpg
1085741,Existence: A New Dimension in Psychiatry and Psychology,Ernest Angel,"Angel, Ernest","Henri F. Ellenberger, Rollo May","=""0671203142""","=""9780671203146""",0,4.06,Simon & Schuster,Paperback,456.0,1958.0,1958.0,,2021/08/22,to-read,to-read (#98),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1257145331i/1085741.jpg,images/book-cover/0671203142.jpg
40108445,പ്രാചീനകേരളത്തിന്റെ ചരിത്രം | Pracheena Keralathinte Charithram,Sivasankaran Nair K,"K, Sivasankaran Nair",,"=""8126450290""","=""9788126450299""",5,3.9,DC Books,Paperback,455.0,2014.0,,2021/08/16,2021/06/29,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1526140915i/40108445.jpg,images/book-cover/8126450290.jpg
25221029,ENNILOODE,കുഞ്ഞുണ്ണി | Kunjunni,"Kunjunni, കുഞ്ഞുണ്ണി |",,"=""8124004110""","=""9788124004111""",5,4.0,DC Books,Paperback,75.0,2014.0,1969.0,2021/08/14,2021/08/14,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1427343966i/25221029.jpg,images/book-cover/8124004110.jpg
25852860,The Martian,Andy Weir,"Weir, Andy",,"=""110190500X""","=""9781101905005""",5,4.42,Ballantine Books,Paperback,435.0,2015.0,2011.0,2021/07/20,2021/06/29,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1450623212i/25852860.jpg,images/book-cover/110190500X.jpg
